Name ,Position,PPG,MPG,FG%,3pt %,3PTM,3PTA,GP,USG%,TOPG
Joel Embidd ,C ,33.1,34.6,54.8,33,1,3,66,37,3.4
Luka Donicic ,G,32.4,36.2,49.6,34.2,2.8,8.2,66,36.8,3.4
Damian Lillard ,G,32.2,36.3,46.3,37.1,4.2,11.3,68,33.1,3.4
Shai Gilgeous Alexander ,G,31.4,35.5,51,34.5,0.9,2.5,68,31.8,2.8
Giannis Antetokounmpo,F,31.1,32.1,55.3,27.5,0.7,2.7,66,37.3,3.9
Jayson Tatum ,F,30.1,36.9,46.6,35,3.2,9.3,68,31.9,3.3
Stephen Curry ,G,29.4,34.7,49.3,42.7,4.9,11.4,74,29.7,3.3
Kevin Durant ,F,29.1,35.6,56,40.4,2,4.9,68,30.5,3.3
LeBron James ,F,28.9,35.5,50,32.1,2.2,6.9,68,32.2,3.2
Dononvan Mitchell ,G,28.3,35.8,48.4,38.6,3.6,9.3,66,31,2.6
Devin Booker ,G,27.8,34.6,49.4,35.1,2.1,6,66,31.1,2.7
Kyrie Irving ,G,27.1,37.4,49.4,37.9,3.1,8.3,60,28.6,2.5
Jaylen Brown ,G,26.6,35.9,49.1,33.5,2.4,7.3,67,30.7,2.9
Trae Young ,G,26.2,34.8,43,33.5,2.1,6.3,77,31.3,4.1
Ja Morant ,G,26.2,31.9,46.6,30.7,1.9,4.9,77,33.8,4.1
Zion Williamson ,F,26,33,60.8,36.8,0.2,0.7,77,28.8,4.1
Anthony Davis,F,25.9,34,56.3,25.7,0.3,1.3,77,27.7,4.1
Lauri markkanen ,F,25.6,34.4,49.9,39.1,3,7.7,77,26.5,4.1
Julius Randle ,F,25.1,35.5,46,34.3,2.8,8.3,77,28.8,4.1
De'Aaron Fox ,G,25,33.4,51.2,32.4,1.6,5,77,28.8,2.5
Zach Lavine ,G,24.8,35.9,48.5,37.5,2.6,7.1,77,27.8,2.5
Brandon Ingram ,F,24.7,34.2,48.4,39,1.4,3.6,77,30.6,2.5
Anthony Edwards ,F,24.6,36,45.9,36.9,2.7,7.3,77,29.2,2.5
Demar Derozan ,F,24.5,36.2,50.4,32.4,0.8,1.9,77,27.2,2.5
Nikola Jokic ,C ,24.5,33.7,63.2,38.3,0.8,2.2,77,26.3,2.5
Pascal Siakam,F,24.2,37.4,48,32.4,1.3,4,77,27,2.5
Jalen Brunson,G,24,35,49.1,41.6,2,4.7,68,26.6,2.5
Kawhi Leonard ,F,23.8,33.6,51.2,41.6,2,4.8,77,26.7,2.5
Paul George ,G,23.8,34.6,45.7,37.1,2.8,7.6,56,29.4,4.1
Lamelo Ball,G,23.3,35.2,41.1,37.6,4,10.6,77,28.9,4.1
